question,solution,chapter_name,question_type
"An old person moves on a semi-circular track of radius 40.0 m during a morning walk. If he starts at one end of the track and reaches at the other end, find the distance covered and the displacement of the person.","The distance covered by the person equals the length of the track. It is equal to pi * R = 3.14 * 40.0 m = 126 m. The displacement is equal to the diameter of the semi-circular track joining the two ends. It is 2R = 2 * 40.0 m = 80 m. The direction of this displacement is from the initial point to the final point.",Rectilinear Motion,subjective_short_theory_only
"The distance travelled by a particle in time t is given by s = (2.5 m/s^2)t^2. Find (a) the average speed of the particle during the time 0 to 5.0 s, and (b) the instantaneous speed at t = 5.0 s.","(a) The distance travelled during time 0 to 5.0 s is s = (2.5 m/s^2)(5.0 s)^2 = 62.5 m. The average speed is v_av = 62.5 m / 5 s = 12.5 m/s. (b) s = (2.5 m/s^2)t^2. Differentiating with respect to time, v = ds/dt = (2.5)(2t) = 5.0t. At t = 5.0 s, the speed is v = (5.0)(5.0) = 25 m/s.",Rectilinear Motion,subjective_long_requires_working
"Figure 3.6 shows the speed versus time graph for a particle. Find the distance travelled by the particle during the time t = 0 to t = 3 s. [Figure Description: A graph of speed v (y-axis) vs time t (x-axis). A straight line goes from origin (0,0) to point (3,6). The area under the graph is a right-angled triangle.]","The distance travelled by the particle in the time 0 to 3 s is equal to the area shaded in the figure. This is a right angled triangle with height = 6 m/s and the base = 3 s. Area = (1/2) * base * height = (1/2) * 3 * 6 = 9 m. Thus, the particle covered a distance of 9 m.",Rectilinear Motion,subjective_long_requires_working
"A table clock has its minute hand 4.0 cm long. Find the average velocity of the tip of the minute hand (a) between 6:00 a.m. to 6:30 a.m. and (b) between 6:00 a.m. to 6:30 p.m.","At 6:00 a.m. the tip is at 12; at 6:30 it is at 6. Displacement is the diameter = 2R = 8.0 cm. (a) Time = 30 min = 1800 s. Average velocity = 8.0 cm / 1800 s = 4.4 * 10^-3 cm/s. (b) Time = 12 hr 30 min = 45000 s. Average velocity = 8.0 cm / 45000 s = 1.8 * 10^-4 cm/s. Direction is from 12 to 6.",Rectilinear Motion,subjective_long_requires_working
"A particle starts with an initial velocity 2.5 m/s along the positive x direction and it accelerates uniformly at the rate 0.50 m/s^2. (a) Find the distance travelled by it in the first two seconds. (b) How much time does it take to reach the velocity 7.5 m/s? (c) How much distance will it cover in reaching the velocity 7.5 m/s?","(a) x = ut + 0.5at^2 = (2.5)(2) + 0.5(0.50)(2)^2 = 5.0 + 1.0 = 6.0 m. (b) v = u + at -> 7.5 = 2.5 + 0.50t -> t = (7.5 - 2.5)/0.50 = 10 s. (c) v^2 = u^2 + 2ax -> (7.5)^2 = (2.5)^2 + 2(0.50)x -> x = (56.25 - 6.25)/1.0 = 50 m.",Rectilinear Motion,subjective_long_requires_working
"A particle having initial velocity u moves with a constant acceleration a for a time t. (a) Find the displacement of the particle in the last 1 second. (b) Evaluate it for u = 5 m/s, a = 2 m/s^2 and t = 10 s.","(a) Position at t is s = ut + 0.5at^2. Position at (t-1) is s' = u(t-1) + 0.5a(t-1)^2. Displacement in last second s_t = s - s' = u + (a/2)(2t - 1). (b) Substituting values: s_t = 5 + (2/2)(2*10 - 1) = 5 + 19 = 24 m.",Rectilinear Motion,subjective_long_requires_working
"A ball is thrown up at a speed of 4.0 m/s. Find the maximum height reached by the ball. Take g = 10 m/s^2.","Using v^2 = u^2 + 2ay. At max height v=0. 0 = (4.0)^2 + 2(-10)y. y = 16 / 20 = 0.80 m.",Rectilinear Motion,subjective_long_requires_working
"A particle moves in the X-Y plane with a constant acceleration of 1.5 m/s^2 in the direction making an angle of 37 degrees with the X-axis. At t = 0 the particle is at the origin and its velocity is 8.0 m/s along the X-axis. Find the velocity and the position of the particle at t = 4.0 s.","ax = 1.5 cos(37) = 1.2 m/s^2; ay = 1.5 sin(37) = 0.90 m/s^2. ux = 8.0 m/s; uy = 0. At t=4.0s: vx = 8.0 + (1.2)(4.0) = 12.8 m/s. vy = 0 + (0.90)(4.0) = 3.6 m/s. Total velocity v = sqrt(12.8^2 + 3.6^2) = 13.3 m/s. Position: x = (8.0)(4.0) + 0.5(1.2)(4.0)^2 = 41.6 m. y = 0 + 0.5(0.90)(4.0)^2 = 7.2 m. Position is (41.6 m, 7.2 m).",Projectile Motion & Vector,subjective_long_requires_working
"A ball is thrown from a field with a speed of 12.0 m/s at an angle of 45 degrees with the horizontal. At what distance will it hit the field again? Take g = 10.0 m/s^2.","Range = (u^2 sin(2*theta)) / g = ((12)^2 * sin(90)) / 10 = 144 / 10 = 14.4 m.",Projectile Motion & Vector,subjective_long_requires_working
"A swimmer can swim in still water at a rate 4.0 km/h. If he swims in a river flowing at 3.0 km/h and keeps his direction (with respect to water) perpendicular to the current, find his velocity with respect to the ground.","Velocity of swimmer wrt water (Vs,r) is 4.0 km/h (perpendicular). Velocity of river (Vr,g) is 3.0 km/h. Velocity wrt ground Vs,g = sqrt(4.0^2 + 3.0^2) = 5.0 km/h. Angle theta with flow: tan(theta) = 4/3.",Projectile Motion & Vector,subjective_long_requires_working
